ID,DF0_1,DF6_1,DF0_2,DF6_2,DF0_3,DF6_3,DFM4_1,DFM4_2,DFM4_3,padj,log2FoldChange,pvalue,foldChange,log10padj
Abca2,700.904772602272,630.762484894279,576.429696696543,637.892199266627,581.221728091297,593.739133607221,279.963449703264,261.649898803988,305.188946449829,4.70140756819121e-17,-1.1357818008744,9.95971371773481e-19,0.455088236250367,16.3277720978983
Abca3,1065.33531676157,787.946062319702,979.631816147493,773.293845337374,1021.11899490012,868.156380232408,377.255712366101,309.488872839045,377.470539030052,1.5037485302619e-14,-1.3686471117987,4.52915943032353e-16,0.387254226066967,13.8228247841239
Abca6,23.9625563282828,18.253576733275,46.7913570720856,45.1338820235821,58.7193184201824,22.9512606268338,6.94944733305975,10.7393615180741,2.0078220161173,0.00027950261422313,-2.45033783821409,4.85362133710611e-05,0.182967861098365,3.55361412574761
Abca7,2130.67063352315,1862.87891439034,1434.60309661437,1431.24554772559,1420.21131162034,1627.54374271156,564.890790358714,672.674553268461,738.878501931165,7.01713030697362e-11,-1.32557616342092,3.52512614881682e-12,0.398989818367947,10.1538404586181
Abcb1b,116.817462100379,128.789124729218,147.342996737631,131.389745446428,98.5290258236959,122.73935030872,626.443038165815,532.086547940945,695.710328584643,1.00687692856928e-42,2.31428400561651,5.65788339272466e-46,4.97357766627376,41.9970236103895
Abcc1,790.764358833332,833.58000415289,705.852599236354,882.61813735005,652.879201417621,824.249620772378,2023.28195211082,2509.10537285913,1773.91075123963,3.78484393523299e-19,1.42730105533915,5.86995350710443e-21,2.68943114857164,18.4219520235522
Abcd1,1121.24794819423,795.044675493754,803.417556535597,687.037981914528,940.504337408006,751.404315304601,101.263375424585,184.521756992364,172.672693386087,4.3744236746915e-20,-2.47515013563926,5.99774880099306e-22,0.179847980450435,19.3590791566733
Abce1,952.511614049241,1033.35526062262,1100.09467158839,1163.45118105234,1085.80976943083,941.999566597003,2411.45822457173,1623.5962004143,2892.26761421697,2.95809470675835e-09,1.14212326340644,1.91820706428362e-10,2.20705604219627,8.52898792568594
Abcg3,119.812781641414,46.6480294294805,281.743703221281,61.1814845208558,375.206492278115,50.8919257377618,16.8772292374308,7.81044474041754,12.0469320967038,2.7675780743229e-05,-3.67107025107571,3.79927693614905e-06,0.0785050759759225,4.55790011868073
Abhd15,21.9656766342592,60.8452557775832,21.9023373528911,48.1428074918209,19.9048537017567,22.9512606268338,0.992778190437107,11.7156671106263,10.0391100805865,0.00580297450708033,-2.1036814696784,0.00145498270682133,0.232663778217294,2.23634933732081
Abhd16a,735.850167247684,578.02992988704,425.104456803841,380.127584154169,418.001927736892,386.179907068899,245.216213037966,171.829784289186,308.200679474005,0.00169054110192268,-1.01124789931255,0.000360223188272128,0.496116931893935,2.7719742658203
Abhd17a,1613.47879277104,814.312339823322,542.580629878439,431.279317114229,581.221728091297,552.826016837648,145.938393994255,453.98210053677,390.521382134814,0.0297080928131297,-1.19514536563773,0.00964895349853281,0.436742439668264,1.52712522794457
Abhd17b,633.01086300547,622.649784123935,786.493023126544,750.225416747543,836.003855473783,620.681917821331,301.804569892881,312.417789616702,331.290632659354,3.83136195355064e-12,-1.16806353553356,1.5759479377383e-13,0.445018267823388,11.4166468177365
Abhd18,58.9079509736952,88.2256208774956,149.334118315167,110.327267168756,139.333975912297,94.7986851977917,43.6822403792327,61.5072523307881,36.1407962901113,0.00259349062167062,-1.18048386089832,0.000586581240291314,0.441203499490771,2.58611531812116
Abi3,2296.4116481271,1143.89080861856,1183.72177784489,879.609211881812,1110.69083655803,1203.44436156354,0,156.208894808351,149.582740200739,0.0203601343488739,-3.67611341214971,0.00618149055332466,0.0782311285725027,1.69121936057977
Ablim1,4832.44885953703,4606.99994995934,6439.28718174999,5490.28600437975,5965.4846544165,5785.71343975575,1885.28578364007,1866.69629295979,1466.71398277368,8.22565614629487e-22,-1.66592147898859,9.1519437905506e-24,0.315142999596539,21.0848294490802
Abtb1,554.13411509154,593.241243831436,347.450715279954,436.294192894627,329.425328764074,453.037927155762,127.07560837595,189.403284955125,174.680515402205,9.49631374860526e-08,-1.46577670571256,8.00431030732069e-09,0.362040573880217,7.02244494516583
Abtb2,226.645845271675,166.310365792061,142.365192793792,128.380819978189,157.248344243878,195.584655776496,388.176272460909,576.020299605794,358.396229876937,1.85483561476637e-08,1.37983863918614,1.37684752028904e-09,2.60239262533595,7.73169457379197
Acaa1a,779.781520516203,621.635696527642,499.771515961424,488.448901010767,468.759304676371,413.122691283008,187.635077992613,250.910537285913,288.122459312832,1.76044186260896e-05,-1.1706261060336,2.31283045334893e-06,0.444228510841298,4.75437831263585
Acaa2,192.698890473274,169.35262858094,135.396267272418,118.351068417393,188.100867481601,114.756303134169,52.6172440931667,66.3887802935491,61.2385714915775,1.76768846121152e-06,-1.349365467029,1.90714871067999e-07,0.392464626645926,5.75259427297605
Acaca,260.592800070075,339.719344758173,283.734824798817,418.240640085194,231.891545625466,340.277385815231,783.301992254878,647.290607862104,774.015387213218,4.56499150108279e-09,1.23408145844352,3.03717123920096e-10,2.35231531488385,8.34056002668089
Acacb,10.9828383171296,6.08452557775832,3.98224315507111,6.01785093647762,4.97621342543919,1.99576179363772,19.8555638087421,45.886362849953,9.03519907252783,0.00338358713039759,2.13672793783702,0.000790378270457562,4.39763521687416,2.47062263556483
Acap1,5057.09782511468,2910.43140136106,3748.28636971068,2650.86333751839,3685.38366288026,2854.93724579876,702.886958829472,849.385865520407,1108.31775289675,1.17189081387368e-12,-1.97420699191082,4.51081820354838e-14,0.254509781311851,11.9311128500424
Acap3,279.563157163299,147.042701462493,224.996738261518,167.496851065294,201.039022387743,135.711801967365,43.6822403792327,63.4598635158925,69.2698595560467,1.73758288838356e-07,-1.71208406479082,1.54660108743513e-08,0.305218842769122,6.76005446897729
Acod1,5.9906390820707,22.3099271184472,14.9334118315167,19.0565279655125,41.8001927736892,50.8919257377618,84.3861461871541,53.6968075903706,72.2815925802227,0.0174183883333816,1.44052642032968,0.00516111270408639,2.71419884947392,1.75899203132029
Acot11,52.9173118916245,32.4508030813777,38.8268707619433,26.0773540580697,69.6669879561486,29.9364269045658,4.96389095218554,18.5498062584917,10.0391100805865,0.0009577689077613,-1.89485889984529,0.000190574269632657,0.268899895591699,3.01873926565097
Acot7,75.8814283728955,56.788905392411,33.8490668181044,57.1695838965374,44.7859208289527,44.9046403568487,236.281209324032,237.242258990183,176.688337418322,1.12298937175909e-14,2.05333696741616,3.30031153871659e-16,4.15064909192105,13.9496243539863
Acoxl,0,1.01408759629305,0,0,0,0.99788089681886,1.98555638087421,13.6682782957307,1.00391100805865,0.0314000852833306,3.95464553939931,0.0102990727016633,15.5048271697701,1.5030691723717
Acp5,1733.29157441246,746.368470871687,714.812646335264,592.758317243045,1042.01909128697,529.874756210814,0,39.0522237020877,206.805667660081,0.044117347000609,-3.44620392792276,0.0154223365824375,0.0917464452860529,1.35539061177216
Acrbp,112.823702712331,110.535547995943,109.511686764456,127.37784482211,89.5718416579054,107.771136856437,59.5666914262264,45.886362849953,51.1994614109911,3.16198677126405e-06,-1.06990034854907,3.5713606485956e-07,0.476351900998725,5.50003995134848
