,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,M24C_1,M24C_2,M24IK1_1,M24IK1_2,P24C_1,P24C_2,P24IK1_1,P24IK1_2
96,RAI14,314.8609146,-3.38507911,0.292663554,-11.56645256,6.10E-31,1.21E-28,254.5061238,208.3258292,9.487471875,14.65595554,824.8813466,946.1838864,121.2354628,139.6112407
97,FZD1,110.3840187,-2.852455638,0.246983458,-11.54917686,7.45E-31,1.47E-28,168.2685116,224.9475709,30.35991,36.20883134,199.65281,183.263737,21.39449344,18.97628515
98,ITGA9,248.5349065,-3.398079207,0.294474273,-11.53947737,8.34E-31,1.63E-28,168.9696304,134.6361077,6.641230312,8.62115032,731.6224683,734.412457,105.7838843,97.59232361
99,IL17RC,68.40720595,-4.391494134,0.383328104,-11.45622795,2.19E-30,4.23E-28,89.04208739,127.987411,7.5899775,4.31057516,147.1125968,158.828572,8.320080784,4.066346817
100,INAFM2,499.0421315,-1.629669651,0.142424043,-11.44237742,2.57E-30,4.91E-28,638.0181065,806.1544721,210.6218756,214.666643,795.9842294,769.7076952,279.3169977,277.8670325
101,MYO7B,446.683321,2.417029382,0.211863382,11.40843387,3.80E-30,7.18E-28,150.7405416,236.028732,1097.700496,836.251581,69.61578244,115.3882788,543.1824169,524.5587394
102,OAS3,195.0276035,-3.598772042,0.315785463,-11.3962562,4.36E-30,8.18E-28,303.5844397,359.0296206,18.97494375,21.5528758,507.013057,266.0717959,58.24056549,25.75352984
103,PIM1,1090.398051,2.356677462,0.206885632,11.39120893,4.63E-30,8.58E-28,329.5258352,533.5579084,2494.256356,2034.591475,241.6849805,313.5846166,1110.136493,1665.846746
104,ATP1A1,2022.128328,-1.74866631,0.154704285,-11.30328299,1.26E-29,2.32E-27,3129.093197,2998.008143,663.174284,857.8044568,3026.316278,3259.3795,1091.119166,1152.131598
105,PSTPIP2,2315.35609,-2.778418342,0.246635048,-11.26530217,1.95E-29,3.54E-27,4705.909374,4603.114333,447.8086725,525.8901695,3585.869548,3263.452027,916.3974692,474.4071287
106,DZIP3,521.9108918,1.381745819,0.122860085,11.24649899,2.41E-29,4.35E-27,285.3553509,259.2991704,733.3815759,730.2114321,282.4036457,333.947254,810.6135849,740.0751207
